Lambda; Mean Response Time;
Policy : DBEB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0537135019026929;
0.2; 1.1149512493842526;
0.3; 1.1851792065993667;
0.4; 1.265726968899318;
0.5; 1.3589231735148897;
0.6; 1.4675055121083063;
0.7; 1.5951990753373364;
0.8; 1.747906875799755;
0.9; 1.9338272130646923;
1; 2.1655497053886195;
1.1; 2.418629273216801;
1.2; 2.7977739814394202;
1.3; 3.3337143883704883;
1.4; 3.9798967813244923;
1.5; 5.190098404770528;
1.6; 6.810198400989579;
1.7; 10.668571224115272;
1.8; 19.8298747506607;
1.9; 66.65404109882442;
