Lambda; Mean Response Time;
Policy : DBE, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0845582570691756;
0.2; 1.1843581250374435;
0.3; 1.3033743291152253;
0.4; 1.4470566982855884;
0.5; 1.6229115632904803;
0.6; 1.841318869578613;
0.7; 2.1183372214130727;
0.8; 2.478078414173518;
0.9; 2.962820212202752;
1; 3.6471642561555786;
1.1; 4.460887030358242;
1.2; 5.682740781293327;
1.3; 7.584183036080878;
1.4; 10.64836618580453;
1.5; 15.816049426883092;
1.6; 26.242902258120967;
1.7; 48.43334071118281;
1.8; 116.58266864220066;
1.9; 490.8031348427186;
