Lambda; Mean Response Time;
Policy : SRPT, Duration: Expon(1.0), Requirement: Uniform(0.01, 1.0), Jobs per data point: 10000000, Seed: 2
0.1; 1.0264501196477132;
0.2; 1.0573913239050137;
0.3; 1.0930177988560144;
0.4; 1.134289602764031;
0.5; 1.1829399665839633;
0.6; 1.2411724335354941;
0.7; 1.312702289068982;
0.8; 1.402689354155345;
0.9; 1.5200519250731486;
1; 1.6821641236310148;
1.1; 1.9232287056927304;
1.2; 2.3276036060404723;
1.3; 3.2183619243151873;
1.4; 7.569425162977699;
Error: queue length past threshold
1.5; 86.11270379350415;
Error: queue length past threshold
1.6; 38.96799570466036;
Error: queue length past threshold
1.7; 31.72784918397066;
Error: queue length past threshold
1.8; 33.87040123783203;
Error: queue length past threshold
1.9; 34.793182001790335;
