Lambda; Mean Response Time;
Policy : FCFS, Duration: Expon(1.0), Requirement: Uniform(0.01, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0564793032163409;
0.2; 1.1254637326682384;
0.3; 1.210375979372862;
0.4; 1.315762019370162;
0.5; 1.448412745501086;
0.6; 1.6188316989867408;
0.7; 1.8437792149977132;
0.8; 2.151519590822678;
0.9; 2.595077254881933;
1; 3.2810847300123074;
1.1; 4.472318413307584;
1.2; 7.013673882594265;
1.3; 16.008242993198962;
Error: queue length past threshold
1.4; 1087.7297309308149;
Error: queue length past threshold
1.5; 934.9027856885181;
Error: queue length past threshold
1.6; 833.8382645681393;
Error: queue length past threshold
1.7; 769.3047488701637;
Error: queue length past threshold
1.8; 689.3793598149031;
Error: queue length past threshold
1.9; 608.6468949326646;
