Lambda; Mean Response Time;
Policy : FCFSB, Duration: Expon(1.0), Requirement: Uniform(0.01, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0542894145841577;
0.2; 1.1156278197417953;
0.3; 1.185551808162218;
0.4; 1.2659793829778343;
0.5; 1.3590753681949779;
0.6; 1.4683912430548922;
0.7; 1.5981789996149895;
0.8; 1.7545448429561112;
0.9; 1.9457598650190218;
1; 2.1858349310195138;
1.1; 2.4944807876209865;
1.2; 2.9051727618005168;
1.3; 3.475724674403143;
1.4; 4.312921074903408;
1.5; 5.643981515766712;
1.6; 8.026616458346647;
1.7; 13.264942591994894;
1.8; 30.03679557759809;
1.9; 169.16190072144786;
