Lambda; Mean Response Time;
Policy : SRPTB, Duration: Expon(1.0), Requirement: Uniform(0.01, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.026992634634197;
0.2; 1.0569207496923145;
0.3; 1.0905226674331758;
0.4; 1.1285763550114234;
0.5; 1.1721107788350758;
0.6; 1.2223905536027877;
0.7; 1.2814327747919112;
0.8; 1.3520240157817363;
0.9; 1.4386256457815123;
1; 1.5480130868846007;
1.1; 1.6922800977618322;
1.2; 1.8944443509225863;
1.3; 2.203117783199103;
1.4; 2.7684851276687774;
1.5; 4.446037796834073;
Error: queue length past threshold
1.6; 56.981688042375495;
Error: queue length past threshold
1.7; 37.38911634253882;
Error: queue length past threshold
1.8; 38.56932643096845;
Error: queue length past threshold
1.9; 34.76070063184492;
