Lambda; Mean Response Time;
Policy : DB(11), Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.1001716176862635;
0.2; 1.2197902122707014;
0.3; 1.3650950926557694;
0.4; 1.5433591061882916;
0.5; 1.766570163551087;
0.6; 2.049970495481063;
0.7; 2.4137421829205516;
0.8; 2.887742992724853;
0.9; 3.5110303021692935;
1; 4.334317964372479;
1.1; 5.438213162902084;
1.2; 6.939064547039456;
1.3; 9.048164235035365;
1.4; 12.152282050942782;
1.5; 17.09827222234847;
1.6; 26.242902258120967;
1.7; 48.824180567119456;
1.8; 213.04117176981885;
Error: queue length past threshold
1.9; 804.4775008892826;
