Lambda; Mean Response Time;
Policy : DBB(41), Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.107983149474266;
0.2; 1.240680006204738;
0.3; 1.4077964577257727;
0.4; 1.6237853700539306;
0.5; 1.9112930107875061;
0.6; 2.3104487276182732;
0.7; 2.8877941711714548;
0.8; 3.7634610336116467;
0.9; 5.138018846382876;
1; 7.302154089683188;
1.1; 10.562962072899426;
1.2; 15.10331084897408;
1.3; 21.09129729611185;
1.4; 29.075494317880793;
1.5; 40.50311888811765;
1.6; 57.77190796423728;
1.7; 88.02138537279512;
1.8; 157.46967019479487;
1.9; 490.09670901622997;
