Lambda; Mean Response Time;
Policy : FCFS, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0553820636234812;
0.2; 1.122971540793129;
0.3; 1.2061021966564942;
0.4; 1.3091649701475163;
0.5; 1.4386440989966676;
0.6; 1.6045101211701978;
0.7; 1.8226468758287433;
0.8; 2.119398211636211;
0.9; 2.5437591478093955;
1; 3.192342438932026;
1.1; 4.297774726973938;
1.2; 6.567326642972379;
1.3; 13.76634291784518;
Error: queue length past threshold
1.4; 893.0823820167936;
Error: queue length past threshold
1.5; 943.6178984097639;
Error: queue length past threshold
1.6; 845.6524405270687;
Error: queue length past threshold
1.7; 762.1286995069225;
Error: queue length past threshold
1.8; 716.0189610599223;
Error: queue length past threshold
1.9; 635.7148024579271;
