Lambda; Mean Response Time;
Policy : FCFSB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0531972364603492;
0.2; 1.113205702582901;
0.3; 1.181507029976216;
0.4; 1.2599661421773416;
0.5; 1.3506419106108198;
0.6; 1.4568195991216661;
0.7; 1.582516621444951;
0.8; 1.7335941205515861;
0.9; 1.9176708164129406;
1; 2.1477322231927025;
1.1; 2.4421799482546596;
1.2; 2.8306630611511636;
1.3; 3.365663102762318;
1.4; 4.141968442517331;
1.5; 5.354433679124161;
1.6; 7.462686179669687;
1.7; 11.88204549254969;
1.8; 24.67615285874254;
1.9; 104.37199394152134;
