Lambda; Mean Response Time;
Policy : LRAB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0784871893265064;
0.2; 1.1715658262343447;
0.3; 1.2827342824368448;
0.4; 1.416531065335484;
0.5; 1.5781834225458147;
0.6; 1.7781425080076714;
0.7; 2.0277090142889067;
0.8; 2.3454461766336068;
0.9; 2.759772102021388;
1; 3.315702485736344;
1.1; 4.089507864181854;
1.2; 5.208621246915341;
1.3; 6.938623736791926;
1.4; 9.80867338584738;
1.5; 15.219841127452735;
1.6; 28.13150512385394;
1.7; 80.35416036506678;
Error: queue length past threshold
1.8; 415.2801775493456;
Error: queue length past threshold
1.9; 124.09202438161937;
