Lambda; Mean Response Time;
Policy : LSFB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0537061114772865;
0.2; 1.1155844806746602;
0.3; 1.1881453012892047;
0.4; 1.2741301950297519;
0.5; 1.3784175780299983;
0.6; 1.5086956835140783;
0.7; 1.6751394889869025;
0.8; 1.8971814962353364;
0.9; 2.2108361890831016;
1; 2.6887534409956095;
1.1; 3.515979194409217;
1.2; 5.325842340065942;
1.3; 12.980035808420146;
Error: queue length past threshold
1.4; 104.3743632702299;
Error: queue length past threshold
1.5; 53.387298707169776;
Error: queue length past threshold
1.6; 29.520419703479625;
Error: queue length past threshold
1.7; 28.238174052497346;
Error: queue length past threshold
1.8; 20.95468256292356;
Error: queue length past threshold
1.9; 16.82166060473416;
