Lambda; Mean Response Time;
Policy : PLCFS, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.054896947551107;
0.2; 1.1205527234799928;
0.3; 1.2004100358214003;
0.4; 1.2980566861981269;
0.5; 1.4198809462686652;
0.6; 1.5762302637479548;
0.7; 1.781879863382321;
0.8; 2.0628749541230147;
0.9; 2.471280575417727;
1; 3.1102703861367753;
1.1; 4.256100335793548;
1.2; 6.845334558434261;
1.3; 18.441997982646456;
Error: queue length past threshold
1.4; 25.468424442444597;
Error: queue length past threshold
1.5; 7.307618797397195;
Error: queue length past threshold
1.6; 3.938084127517379;
Error: queue length past threshold
1.7; 2.8090997927625536;
Error: queue length past threshold
1.8; 2.056364702802029;
Error: queue length past threshold
1.9; 1.7673204226480923;
