Lambda; Mean Response Time;
Policy : SRAB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0297814135554624;
0.2; 1.0628975986152582;
0.3; 1.1003280284913968;
0.4; 1.142997205824028;
0.5; 1.1923032986374522;
0.6; 1.250009473498447;
0.7; 1.3188118967001359;
0.8; 1.402979980500197;
0.9; 1.5088555650741529;
1; 1.6479026594464516;
1.1; 1.8415455471561242;
1.2; 2.1365850091958496;
1.3; 2.6602297895329694;
1.4; 4.05631235017666;
Error: queue length past threshold
1.5; 81.64098460727485;
Error: queue length past threshold
1.6; 38.39886459464146;
Error: queue length past threshold
1.7; 37.310230691151;
Error: queue length past threshold
1.8; 35.854958789173175;
Error: queue length past threshold
1.9; 32.21611911112252;
