Lambda; Mean Response Time;
Policy : SRPT, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.026757261779594;
0.2; 1.0570578264898478;
0.3; 1.0918850038005468;
0.4; 1.1323339972449944;
0.5; 1.1799169525571709;
0.6; 1.236624707328704;
0.7; 1.305981892858314;
0.8; 1.3928681837226276;
0.9; 1.506215654444063;
1; 1.6612450275356911;
1.1; 1.890060962930928;
1.2; 2.269584994257301;
1.3; 3.050220876862164;
1.4; 6.192272484450323;
Error: queue length past threshold
1.5; 49.52497172647446;
Error: queue length past threshold
1.6; 44.04389155401929;
Error: queue length past threshold
1.7; 29.58618549184432;
Error: queue length past threshold
1.8; 31.87598775982412;
Error: queue length past threshold
1.9; 20.182754649033047;
