Lambda; Mean Response Time;
Policy : SRPTB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.026455716886499;
0.2; 1.0557478290490667;
0.3; 1.088574078008806;
0.4; 1.1257199125108766;
0.5; 1.1681193751741386;
0.6; 1.2169923378343706;
0.7; 1.2742733667198083;
0.8; 1.3425038373490108;
0.9; 1.42585034150925;
1; 1.5304829867178522;
1.1; 1.6674618424056726;
1.2; 1.8573466433306502;
1.3; 2.141259597869776;
1.4; 2.643810018040542;
1.5; 3.95775116753738;
Error: queue length past threshold
1.6; 59.60586727854282;
Error: queue length past threshold
1.7; 36.00884903059317;
Error: queue length past threshold
1.8; 44.59239513215111;
Error: queue length past threshold
1.9; 32.02487437517588;
